Date-time CET-CEST (DD/MM/YYYY HH:mm);DMA A (L/s);DMA B (L/s);DMA C (L/s);DMA D (L/s);DMA E (L/s);DMA F (L/s);DMA G (L/s);DMA H (L/s);DMA I (L/s);DMA J (L/s)
07/01/2021 07:00;7.47;10.57;4.83;40.10;93.64;#N/A;25.94;22.89;#N/A;28.25
07/01/2021 08:00;8.43;10.63;4.97;41.41;97.85;#N/A;27.44;24.77;#N/A;30.14
07/01/2021 09:00;8.47;10.54;4.89;44.02;96.79;#N/A;#N/A;26.23;#N/A;29.90
07/01/2021 10:00;7.58;9.99;4.55;41.30;91.02;#N/A;25.04;25.47;#N/A;29.19
07/01/2021 11:00;7.77;9.41;4.74;38.04;88.03;#N/A;23.02;23.96;#N/A;30.66
07/01/2021 12:00;8.72;9.26;4.42;42.14;86.59;#N/A;24.49;24.36;#N/A;30.54
07/01/2021 13:00;9.05;9.24;4.43;42.66;87.92;#N/A;24.38;24.71;#N/A;30.53
07/01/2021 14:00;9.69;9.39;4.47;39.90;84.96;#N/A;23.67;22.50;#N/A;30.18
07/01/2021 15:00;9.47;9.43;4.23;36.01;81.85;#N/A;21.84;20.79;#N/A;26.79
07/01/2021 16:00;7.69;9.77;3.87;36.12;78.08;#N/A;20.72;20.59;#N/A;27.52
07/01/2021 17:00;7.34;9.29;4.32;36.52;80.26;#N/A;19.94;20.71;#N/A;28.00
07/01/2021 18:00;6.09;9.56;4.60;39.50;85.17;#N/A;22.85;21.10;#N/A;25.92
07/01/2021 19:00;6.10;10.28;4.53;41.55;88.69;#N/A;25.18;22.20;#N/A;26.70
07/01/2021 20:00;6.46;9.79;5.12;44.16;92.50;#N/A;26.69;21.74;#N/A;27.00
07/01/2021 21:00;5.69;9.68;4.59;39.68;83.68;#N/A;22.83;19.65;#N/A;25.91
07/01/2021 22:00;4.13;8.66;3.72;35.72;74.72;#N/A;21.15;17.25;#N/A;24.54
07/01/2021 23:00;3.52;8.42;3.47;30.03;69.49;#N/A;17.71;14.38;#N/A;21.61
08/01/2021 00:00;3.16;8.07;3.26;28.02;62.18;#N/A;15.24;12.88;#N/A;20.97
08/01/2021 01:00;3.85;7.76;2.74;25.61;56.33;#N/A;12.26;11.04;#N/A;21.72
08/01/2021 02:00;4.07;7.61;2.64;26.96;54.75;#N/A;9.97;10.54;#N/A;20.57
08/01/2021 03:00;4.55;7.61;2.56;29.39;54.21;#N/A;8.53;10.53;#N/A;21.54
08/01/2021 04:00;4.30;7.67;2.60;29.28;54.81;#N/A;#N/A;10.81;#N/A;22.05
08/01/2021 05:00;4.29;7.89;2.92;30.59;56.47;#N/A;10.96;11.55;#N/A;22.36
08/01/2021 06:00;5.15;8.83;3.80;34.04;69.21;#N/A;17.78;15.09;#N/A;25.16
08/01/2021 07:00;7.55;10.04;4.95;40.11;94.54;#N/A;25.72;22.51;#N/A;28.29
08/01/2021 08:00;8.93;10.45;4.93;44.29;98.83;#N/A;28.09;26.03;#N/A;31.58
08/01/2021 09:00;9.90;10.03;5.04;45.33;96.51;#N/A;28.31;25.74;#N/A;31.58
08/01/2021 10:00;8.46;9.79;4.67;40.95;91.57;#N/A;25.27;25.89;#N/A;32.87
08/01/2021 11:00;7.63;9.49;4.49;43.56;89.99;#N/A;24.57;24.33;#N/A;30.80
08/01/2021 12:00;7.94;9.68;4.66;41.05;87.98;#N/A;24.13;24.76;#N/A;29.11
08/01/2021 13:00;8.61;9.64;4.59;41.89;88.19;#N/A;25.73;24.25;#N/A;30.61
08/01/2021 14:00;8.29;9.59;4.59;39.25;88.01;#N/A;24.12;24.48;#N/A;30.86
08/01/2021 15:00;8.05;9.52;4.33;36.62;84.16;#N/A;20.57;20.91;#N/A;29.88
08/01/2021 16:00;6.60;9.27;4.03;34.55;81.08;#N/A;21.75;21.35;#N/A;29.33
08/01/2021 17:00;7.64;9.19;4.30;39.77;80.36;#N/A;21.91;21.13;#N/A;28.15
08/01/2021 18:00;6.52;9.62;4.62;42.66;84.23;#N/A;23.97;21.76;#N/A;28.24
08/01/2021 19:00;7.50;9.92;4.60;42.62;88.14;#N/A;24.63;21.99;#N/A;27.59
08/01/2021 20:00;7.33;9.97;4.73;44.30;90.08;#N/A;26.01;20.42;#N/A;25.47
08/01/2021 21:00;6.31;9.45;4.44;37.98;82.34;#N/A;22.91;18.25;#N/A;24.68
08/01/2021 22:00;5.29;9.18;3.80;31.96;74.83;#N/A;19.21;17.05;#N/A;24.36
08/01/2021 23:00;4.49;8.34;3.45;28.91;70.01;#N/A;18.32;16.02;#N/A;21.92
09/01/2021 00:00;3.75;8.06;3.18;29.94;62.97;#N/A;15.59;13.77;#N/A;21.42
09/01/2021 01:00;3.55;7.78;2.83;29.42;57.83;#N/A;13.60;11.40;#N/A;20.40
09/01/2021 02:00;4.18;7.67;2.69;28.68;55.29;#N/A;12.59;10.20;#N/A;21.08
09/01/2021 03:00;3.17;7.71;2.65;27.70;54.56;#N/A;12.04;10.95;#N/A;20.72
09/01/2021 04:00;2.74;7.65;2.60;29.11;54.72;#N/A;12.16;10.42;#N/A;20.50
09/01/2021 05:00;2.58;8.27;2.95;30.10;56.16;#N/A;12.70;11.06;#N/A;19.22
09/01/2021 06:00;3.36;#N/A;3.25;28.47;61.09;#N/A;14.76;13.53;#N/A;20.79
09/01/2021 07:00;6.07;9.26;3.88;33.39;73.45;#N/A;19.45;17.47;#N/A;24.41
09/01/2021 08:00;7.76;10.35;4.81;44.01;89.50;#N/A;26.16;21.23;#N/A;25.03
09/01/2021 09:00;8.65;11.48;5.74;54.44;103.95;#N/A;31.76;26.00;#N/A;29.08
09/01/2021 10:00;9.27;11.50;5.91;50.78;106.22;#N/A;30.50;25.69;#N/A;29.45
09/01/2021 11:00;8.51;11.64;6.03;48.18;102.90;#N/A;30.15;24.11;#N/A;27.79
09/01/2021 12:00;7.89;10.40;5.70;46.29;99.89;#N/A;28.39;24.72;#N/A;26.54
09/01/2021 13:00;7.41;10.57;5.33;44.98;98.09;#N/A;29.43;23.88;#N/A;26.27
09/01/2021 14:00;6.40;10.41;5.09;40.56;91.73;#N/A;26.17;23.06;#N/A;25.46
09/01/2021 15:00;6.56;9.80;4.73;40.03;85.93;#N/A;25.24;21.17;#N/A;23.86
09/01/2021 16:00;5.74;9.99;4.53;41.78;84.56;#N/A;22.85;19.67;#N/A;24.95
09/01/2021 17:00;5.55;9.84;4.39;38.84;84.23;#N/A;23.38;20.53;#N/A;23.73
09/01/2021 18:00;5.70;9.98;4.93;43.58;86.16;#N/A;24.16;20.99;#N/A;23.12
09/01/2021 19:00;6.52;9.62;4.59;42.99;85.73;#N/A;25.10;20.22;#N/A;24.32
09/01/2021 20:00;6.70;10.00;4.68;39.25;87.11;#N/A;25.75;20.14;#N/A;23.91
09/01/2021 21:00;6.48;9.45;4.32;36.55;81.37;#N/A;23.02;18.67;#N/A;22.49
09/01/2021 22:00;5.29;9.02;3.86;32.81;74.49;#N/A;20.21;16.28;#N/A;21.49
09/01/2021 23:00;4.78;8.71;3.63;34.00;69.23;#N/A;18.09;15.13;#N/A;21.90
10/01/2021 00:00;4.53;8.18;3.44;32.69;62.83;#N/A;16.43;13.51;#N/A;20.34
10/01/2021 01:00;3.88;7.91;3.05;31.28;58.08;#N/A;13.04;11.82;#N/A;19.39
10/01/2021 02:00;4.12;7.72;2.86;29.04;55.42;#N/A;12.39;10.76;#N/A;18.67
10/01/2021 03:00;4.18;7.72;2.71;28.81;55.39;#N/A;12.19;10.46;#N/A;18.35
10/01/2021 04:00;3.74;7.70;2.75;23.40;54.50;#N/A;12.33;10.23;#N/A;19.16
10/01/2021 05:00;4.00;7.71;2.93;21.89;55.08;#N/A;12.31;11.05;#N/A;20.41
10/01/2021 06:00;4.35;7.97;3.13;27.58;57.92;#N/A;13.44;11.64;#N/A;19.41
10/01/2021 07:00;5.77;8.59;3.39;34.20;66.85;#N/A;16.00;15.04;#N/A;21.23
10/01/2021 08:00;6.26;9.95;4.56;41.73;83.79;#N/A;22.89;18.74;#N/A;23.00
10/01/2021 09:00;6.70;11.21;5.48;54.09;100.05;#N/A;30.03;24.43;#N/A;26.42
10/01/2021 10:00;7.42;10.94;5.99;52.73;107.81;#N/A;32.34;26.60;#N/A;26.83
10/01/2021 11:00;6.96;11.12;6.13;48.75;104.40;#N/A;32.40;26.08;#N/A;26.00
10/01/2021 12:00;7.23;11.79;5.61;45.33;104.73;#N/A;29.74;24.36;#N/A;25.82
10/01/2021 13:00;7.31;11.18;5.44;42.10;98.07;#N/A;29.51;23.60;#N/A;24.38
10/01/2021 14:00;7.17;10.32;5.07;44.30;91.20;#N/A;26.78;21.31;#N/A;24.32
10/01/2021 15:00;6.77;10.01;4.59;39.98;85.88;#N/A;22.73;20.73;#N/A;23.90
10/01/2021 16:00;6.90;9.82;4.76;40.90;85.13;#N/A;23.72;19.23;#N/A;23.43
10/01/2021 17:00;6.35;10.25;4.79;43.04;87.14;#N/A;24.38;20.14;#N/A;22.58
10/01/2021 18:00;6.56;10.18;5.07;39.53;90.94;#N/A;26.52;21.29;#N/A;23.21
10/01/2021 19:00;7.35;10.42;5.14;40.04;93.91;#N/A;26.76;21.50;#N/A;23.88
10/01/2021 20:00;7.64;10.64;5.05;43.20;95.63;#N/A;27.32;21.26;#N/A;24.16
10/01/2021 21:00;6.52;9.72;4.46;38.04;81.77;#N/A;24.03;20.33;#N/A;22.37
10/01/2021 22:00;5.09;9.13;3.79;34.98;75.53;#N/A;19.54;16.72;#N/A;21.72
10/01/2021 23:00;4.44;8.81;3.49;34.82;70.22;#N/A;19.05;16.27;#N/A;22.54
11/01/2021 00:00;3.29;8.13;3.37;31.34;61.17;#N/A;14.07;13.06;#N/A;20.14
11/01/2021 01:00;2.31;7.81;2.97;28.42;56.41;#N/A;12.44;11.42;#N/A;18.84
11/01/2021 02:00;3.00;7.76;2.67;21.45;54.66;#N/A;11.70;10.72;#N/A;18.68
11/01/2021 03:00;3.53;7.88;2.66;22.66;54.35;#N/A;11.90;10.49;#N/A;19.23
11/01/2021 04:00;3.21;8.02;2.78;25.15;55.06;#N/A;11.56;10.52;#N/A;19.31
11/01/2021 05:00;4.27;8.34;3.08;31.00;57.63;#N/A;13.13;12.18;#N/A;23.18
11/01/2021 06:00;5.19;9.30;4.10;36.48;72.10;#N/A;18.73;16.16;#N/A;25.35
11/01/2021 07:00;9.01;10.46;5.26;46.09;96.94;#N/A;25.31;24.20;#N/A;30.02
11/01/2021 08:00;10.07;10.50;5.21;43.45;97.46;#N/A;28.52;27.41;#N/A;31.03
11/01/2021 09:00;9.55;10.15;5.19;39.97;93.39;#N/A;27.87;27.88;#N/A;29.90
11/01/2021 10:00;9.30;9.94;4.83;42.01;90.16;#N/A;25.96;27.34;#N/A;29.75
11/01/2021 11:00;8.92;9.30;4.62;36.94;86.30;#N/A;24.68;25.02;#N/A;30.53
11/01/2021 12:00;9.21;9.57;4.99;41.59;89.89;#N/A;24.70;25.47;#N/A;30.54
11/01/2021 13:00;9.01;9.82;4.48;43.35;90.65;#N/A;24.17;#N/A;#N/A;30.95
11/01/2021 14:00;8.59;9.47;4.52;42.85;87.47;#N/A;21.89;24.38;#N/A;33.24
11/01/2021 15:00;10.64;9.20;3.35;39.83;82.47;#N/A;19.98;21.00;#N/A;29.40
11/01/2021 16:00;7.12;9.23;4.33;36.93;81.86;#N/A;20.61;20.86;#N/A;27.58
